Name,Math,English,Science
Cbmxq,43,91,87
Xkqdy,86,72,59
Nydez,50,77,79
Selsb,100,44,41
Ontoj,69,98,74
Bkllo,71,83,61
Rgfmd,86,40,74
Wnluj,67,68,50
Uzyby,76,56,66
Jsunh,58,42,58
Fajqp,63,46,65
Miafd,72,49,56
Pzlnp,76,65,97
Stvwf,64,68,100
Excia,41,87,85
Gykmm,71,97,45
Fkvxi,74,56,60
Gqosy,83,61,85
Qdfsx,87,73,60
Smgob,51,93,81
Vbkem,94,40,84
Cowkk,44,62,73
Vwmuc,49,52,53
Fqctr,86,75,47
Kdqnm,65,96,72
Eywba,46,94,95
Otayw,43,68,77
Lrbtq,95,41,56
Rsjdw,54,79,65
Ujxxj,53,76,57
Wakux,52,75,54
Xdrlr,42,75,41
Iyyjt,98,74,47
Hcvbr,59,44,69
Gtdfp,81,82,91
Mfesb,67,53,96
Kxsfm,64,85,82
Lzdpb,68,86,96
Kxnec,88,56,60
Drtol,96,92,73
Lypzq,70,98,86
Tsfsp,67,49,88
Juwrv,85,50,82
Uaxkd,62,93,65
Rtkvd,44,42,74
Rddmq,97,62,55
Ermqx,91,64,44
Fnxeb,55,92,90
Frwbr,73,68,57
Ugxyr,64,60,59
Uorsu,92,59,85
Bvpnm,58,72,56
Qogsn,79,79,65
Odkkr,54,97,64
Eouqf,95,47,52
Tsntf,56,62,65
Xngst,63,54,62
Ucfrf,89,58,87
Beitc,61,96,68
Uzhte,42,54,53
Reyhr,87,62,79
Pshwb,69,60,67
Xebpp,59,49,47
Oqpqt,60,70,78
Tfzep,78,51,100
Ygvzu,56,95,73
Dshhb,65,42,87
Kyeos,74,81,72
Poivt,69,68,49
Cacdc,80,54,56
Ajjvb,56,48,58
Jlnbc,80,70,99
Lmsbk,91,69,51
Riick,70,57,75
Yyaof,100,51,50
Bishs,41,75,89
Udmtr,45,55,71
Jyyck,93,48,89
Qrmqa,72,72,76
Ipjgc,83,50,98
Fvguz,73,89,80
Qlyex,99,45,94
Qbbsh,49,52,79
Hdfeq,82,88,71
Eelsg,87,77,73
Bktry,70,89,54
Aihyp,72,62,65
Mhxmo,100,51,100
Bdnml,71,71,79
Jzdni,89,85,41
Gmoyv,44,49,70
Cxbkg,81,71,88
Tbinw,55,88,44
Ilkzk,71,53,54
Hdptf,83,43,55
Qgkar,40,73,72
Vcybk,44,55,62
Emlop,68,96,84
Wgiox,75,66,89
Juyde,73,46,42
Flbaz,97,54,82
Zzljp,46,86,53
Eblcg,41,94,62
Ehbtg,42,72,59
Fdpkh,78,73,68
Fqspc,77,58,91
Oriyw,61,62,40
Klqkv,67,42,43
Fpajj,77,68,90
Plnwg,96,87,76
Zuiiv,86,80,41
Qfrla,70,65,68
Jdves,62,57,77
Orgah,67,86,80
Yjjbn,66,86,51
Liplh,73,82,95
Jctcv,83,98,64
Duzfh,88,78,51
Nzgiy,100,72,87
Lzwlr,91,94,42
Egyyh,55,100,59
Drgnf,76,49,90
Akcpa,85,84,56
Trxyr,75,69,67
Vorxm,71,58,74
Gcjnz,78,69,61
Pglpe,79,40,80
Hivwt,85,72,94
Medqx,44,76,62
Epwzu,97,72,71
Rnadn,77,87,89
Gtopj,54,80,47
Engaf,92,52,66
Hvyyn,81,100,58
Vyrab,100,85,76
Sfshu,50,70,84
Xwxud,74,97,47
Lyhai,64,53,43
Mogrz,100,64,89
Rvrvb,99,40,88
Nzhah,95,40,49
Wacph,56,69,61
Wayjm,68,84,62
Vurjj,52,72,60
Iroxq,71,93,57
Xmbtx,63,40,64
Pehns,84,60,51
Oaseu,83,73,99
Guilp,93,53,65
Rmhwe,80,94,55
Rwskx,100,94,54
Zkbes,58,41,91
Szmbu,85,41,94
Cqbet,60,50,84
Rznic,45,99,61
Ihjcj,92,99,80
Rturd,46,70,70
Kvcji,42,61,45
Hpkzp,77,78,67
Ehaun,62,75,57
Wqtzq,71,78,91
Umjyk,79,85,64
Yyyru,79,58,66
Ykxya,47,84,85
Novgz,68,58,54
Uyfmw,53,40,52
Pidiw,84,78,61
Gcdwm,76,90,93
Farcv,81,70,68
Fwyjp,89,79,74
Udnmy,90,95,73
Wbftf,48,99,92
Gogzh,87,60,76
Eyqro,82,85,42
Qrrum,56,82,53
Aourf,46,52,57
Gbdst,59,98,100
Epqam,73,73,59
Izbkq,56,92,88
Mvjff,99,54,91
Cjmmg,97,100,99
Evoqo,66,68,67
Oqnxl,84,44,88
Wxjuy,92,91,56
Osghc,63,70,52
Dllbf,73,80,51
Wjglm,62,88,68
Ltkcb,100,72,81
Udqfc,83,60,54
Eraoh,93,82,45
Ciapy,82,58,75
Tpkth,79,57,94
Mtvwp,64,55,71
Rajjq,68,91,77
Mzzaq,64,47,68
Fksdy,40,85,52
Oohet,74,90,83
Ovlbv,97,87,51
Olnmy,45,80,92
Crecp,50,42,53
